geometry,jul_2018,aug_2018,sep_2018,oct_2018,nov_2018,dec_2018,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,change_jul_2018_2019_magnitude,change_aug_2018_2019_magnitude,change_sep_2018_2019_magnitude,change_oct_2018_2019_magnitude,change_nov_2018_2019_magnitude,change_dec_2018_2019_magnitude,change_jan_2019_2020_magnitude,change_feb_2019_2020_magnitude,change_mar_2019_2020_magnitude,change_apr_2019_2020_magnitude,change_may_2019_2020_magnitude,change_jun_2019_2020_magnitude,change_jul_2019_2020_magnitude,change_jul_2018_2019_percent,change_aug_2018_2019_percent,change_sep_2018_2019_percent,change_oct_2018_2019_percent,change_nov_2018_2019_percent,change_dec_2018_2019_percent,change_jan_2019_2020_percent,change_feb_2019_2020_percent,change_mar_2019_2020_percent,change_apr_2019_2020_percent,change_may_2019_2020_percent,change_jun_2019_2020_percent,change_jul_2019_2020_percent
"POLYGON ((103.4120403239401 0.9000000000000909, 103.38102016197 0.8462715034089001, 103.31897983803 0.8462715034089001, 103.2879596760599 0.9000000000000909, 103.31897983803 0.9537284965912818, 103.38102016197 0.9537284965912818, 103.4120403239401 0.9000000000000909))",1.9986574689139787e-05,1.4106504201707986e-05,1.5165891331348063e-05,3.1615251602288443e-05,4.400298470972942e-05,3.9432479822996444e-05,5.4548657967442005e-05,6.939715191217052e-05,5.07396106502898e-05,5.160449444405615e-05,2.072502803131561e-05,1.82582419912346e-05,1.8291044115248372e-05,1.208518464428827e-05,2.455422300850586e-05,3.1265655949771354e-05,4.672199710601959e-05,5.8551334345625434e-05,5.653487930355349e-05,6.529518887525074e-05,5.837534834795571e-05,5.217102407126455e-05,2.3488977358934327e-05,2.014296974880307e-05,2.0181643181653108e-05,-1.6955305738914149e-06,-2.021319557419717e-06,9.388331677157797e-06,-3.495956525170898e-07,2.71901239629017e-06,1.911885452262899e-05,1.986221336111485e-06,-4.101963036919775e-06,7.63573769766591e-06,5.665296272084036e-07,2.7639493276187167e-06,1.8847277575684698e-06,1.890599066404736e-06,-8.483347448288498,-14.328989865362812,61.904252589176956,-1.1057816553697286,6.179154469239842,48.48504230129385,3.641191937841961,-5.910852137147136,15.048869314929004,1.0978300113424655,13.336287523676093,10.322613526939167,10.336200899699508
"POLYGON ((103.5051008098505 0.9537284965912818, 103.4740806478804 0.9000000000000909, 103.4120403239401 0.9000000000000909, 103.38102016197 0.9537284965912818, 103.4120403239401 1.007456993182473, 103.4740806478804 1.007456993182473, 103.5051008098505 0.9537284965912818))",1.6487964942560134e-05,1.535797060436308e-05,1.628162523183164e-05,4.072571071473972e-05,4.574218719303348e-05,3.9888874767477525e-05,6.0618466546110265e-05,7.060900169717554e-05,5.804705739977038e-05,6.945917569729393e-05,2.2655280535009366e-05,1.9889928208002314e-05,1.557643199334308e-05,1.1514507233584979e-05,1.9840071313379003e-05,3.0524436107601584e-05,5.4195693043781704e-05,7.962270485687678e-05,7.667259954125556e-05,7.2176191263443e-05,6.581369568227386e-05,6.259916878709022e-05,2.7987755580519214e-05,1.602044626615174e-05,1.8179768495208184e-05,-9.115329492170544e-07,-3.8434633707781e-06,3.558446081547364e-06,-1.0201274607138135e-05,8.453505850748227e-06,3.9733830089399257e-05,1.6054132995145298e-05,1.5671895662674621e-06,7.766638282503484e-06,-6.860006910203704e-06,5.332475045509849e-06,-3.869481941850573e-06,2.6033365018651047e-06,-5.528474571559333,-25.02585445557633,21.855595070388734,-25.04873316660382,18.480764409174764,99.61130846888496,26.483898240701127,2.2195322531095236,13.379900085226728,-9.876314887610976,23.537448751824268,-19.454479178530995,16.713304452378413
"POLYGON ((103.5981612957607 0.9000000000000909, 103.5671411337906 0.8462715034089001, 103.5051008098503 0.8462715034089001, 103.4740806478804 0.9000000000000909, 103.5051008098503 0.9537284965912818, 103.5671411337906 0.9537284965912818, 103.5981612957607 0.9000000000000909))",1.5198521251609e-05,1.5531948414374102e-05,1.52034648499283e-05,5.432409535151454e-05,5.533800238655184e-05,5.4391251553050886e-05,5.622577459134126e-05,6.345229374351451e-05,5.7712451466573116e-05,6.362191011685856e-05,2.1813039881298692e-05,1.749720026780766e-05,1.4227410068248227e-05,1.3188826600671989e-05,1.674356437713659e-05,3.01965510855276e-05,6.074406450209987e-05,7.00432864009687e-05,7.334419448247679e-05,7.122375832173709e-05,6.193254369795911e-05,6.225727981555489e-05,3.482008698401646e-05,1.4624686831987051e-05,1.680143428083371e-05,-9.711111833607728e-07,-2.343121813702113e-06,1.54009952720829e-06,-2.4127544265986942e-05,5.406062115548032e-06,1.5652034847917817e-05,1.7118419891135528e-05,7.771464578222576e-06,4.220092231385991e-06,-1.3646303013036725e-06,1.3007047102717769e-05,-2.8725134358206086e-06,2.574024212585483e-06,-6.389510974680945,-15.08582021514868,10.129924608702293,-44.41407465667861,9.769167448049778,28.776750674051865,30.445858710805123,12.247728363668335,7.31227339013706,-2.1449062104504026,59.62968560777858,-16.41698895740264,18.092008315202897
"POLYGON ((103.6912217816708 0.9537284965912818, 103.6602016197007 0.9000000000000909, 103.5981612957607 0.9000000000000909, 103.5671411337906 0.9537284965912818, 103.5981612957607 1.007456993182473, 103.6602016197007 1.007456993182473, 103.6912217816708 0.9537284965912818))",1.591305790218755e-05,1.7389291789731638e-05,1.8318170852362043e-05,4.092448972251555e-05,6.58101509696785e-05,5.424193703599462e-05,6.427272362389935e-05,6.276416649155936e-05,5.922744957545218e-05,7.171712932214267e-05,2.63786988757205e-05,1.67075759643987e-05,1.7166565765464694e-05,1.3308187247371092e-05,1.7689881051083706e-05,3.831731367337993e-05,6.38490615347151e-05,7.187690978723647e-05,7.062598904726804e-05,7.614418275214233e-05,6.065371953010063e-05,6.121800688380242e-05,3.4647664232148e-05,1.6195621902756774e-05,1.8471504048957876e-05,1.2535078632771451e-06,-4.081104542360546e-06,-6.282898012783369e-07,-2.6071760491356143e-06,-1.9610894349633993e-06,1.7634972751241856e-05,6.353265423368693e-06,1.3380016260582965e-05,1.4262699546484548e-06,-1.0499122438340251e-05,8.2689653564275e-06,-5.119540616419269e-07,1.3049382834931816e-06,7.87722806629659,-23.469067008067775,-3.4298719361345062,-6.3706989795433335,-2.9799193681639715,32.51169429944841,9.88485482666908,21.317922324966005,2.4081232011036935,-14.639630082207775,31.347131241709675,-3.064203106021023,7.6016269143268405
"POLYGON ((103.784282267581 0.9000000000000909, 103.7532621056109 0.8462715034089001, 103.6912217816708 0.8462715034089001, 103.6602016197007 0.9000000000000909, 103.6912217816708 0.9537284965912818, 103.7532621056109 0.9537284965912818, 103.784282267581 0.9000000000000909))",1.7280639881455945e-05,1.847210227439236e-05,1.73474175556159e-05,3.2915682366953326e-05,6.87358839176518e-05,5.015294429808107e-05,5.670143942743392e-05,4.771496728401367e-05,5.682776290321743e-05,6.116951319999218e-05,2.450669316078872e-05,2.046557478186574e-05,1.7410576003510437e-05,1.4458558199618868e-05,1.7533119850707646e-05,2.051686835876048e-05,5.8827169633570894e-05,5.233575180812949e-05,5.272371499612809e-05,5.2154608306388275e-05,5.024602943681824e-05,4.8604046009553566e-05,3.630762741710425e-05,1.6250382145813178e-05,2.0198470230669356e-05,1.2993612205449193e-07,-4.013544074773492e-06,1.8570229509174652e-07,-1.2398814008192847e-05,-9.908714284080905e-06,2.182807510048419e-06,-3.977724431305829e-06,4.4396410223746085e-06,-6.581733466399192e-06,-1.2565467190438617e-05,1.1800934256315528e-05,-4.2151926360525625e-06,2.78789422715892e-06,0.7519173071474505,-21.727597731728764,1.070489567086191,-37.668409452878315,-14.415635210208283,4.352301825143169,-7.015208910871638,9.304503964025681,-11.581897879049807,-20.5420421597212,48.15392341549082,-20.596502570685608,16.012647867576614
"POLYGON ((103.8773427534912 0.9537284965912818, 103.8463225915211 0.9000000000000909, 103.784282267581 0.9000000000000909, 103.7532621056109 0.9537284965912818, 103.784282267581 1.007456993182473, 103.8463225915211 1.007456993182473, 103.8773427534912 0.9537284965912818))",1.5803803310759134e-05,1.68074144089624e-05,1.5891787166687448e-05,3.2434716846825004e-05,6.94412936330169e-05,4.341189022022984e-05,4.430044504420886e-05,4.1274533511363246e-05,6.002279704712163e-05,6.138413361386634e-05,2.4652776030487362e-05,1.7580198039014164e-05,1.542134031879228e-05,1.2392208585386577e-05,1.4394271919059999e-05,2.650880727492803e-05,4.8768122613093294e-05,4.318882626625482e-05,4.3228366886495367e-05,4.517306689934251e-05,4.429108041628812e-05,4.063185981688605e-05,3.3249047626168444e-05,1.6638949077523296e-05,1.8995533702347192e-05,-3.8246299196685195e-07,-4.415205823575823e-06,-1.4975152476274494e-06,-5.925909571896973e-06,-2.0673171019923602e-05,-2.2306395397502432e-07,-1.0720781577134954e-06,3.898533387979261e-06,-1.5731716630833514e-05,-2.0752273796980294e-05,8.596271595681082e-06,-9.412489614908679e-07,3.5741933835549106e-06,-2.420069298802735,-26.269393472094404,-9.423202261143784,-18.270267626760717,-29.770717016271476,-0.5138314706948122,-2.420016676228949,9.445372379329157,-26.209569371589158,-33.80722765840661,34.869385845433094,-5.354029342570761,23.176930861187444
"POLYGON ((103.9704032394014 0.9000000000000909, 103.9393830774314 0.8462715034089001, 103.8773427534912 0.8462715034089001, 103.8463225915211 0.9000000000000909, 103.8773427534912 0.9537284965912818, 103.9393830774314 0.9537284965912818, 103.9704032394014 0.9000000000000909))",1.4698993811508486e-05,1.3939087202854982e-05,1.5733490290316545e-05,2.2748698950680577e-05,3.68197649815915e-05,4.828320638407533e-05,3.6075548139757646e-05,3.243714017777042e-05,5.4644704054401145e-05,3.952839464862807e-05,2.0148676903264534e-05,1.545438490986526e-05,1.633908301888607e-05,1.3185603974797167e-05,1.521179501464694e-05,1.8337755635959075e-05,3.214108226799137e-05,3.7766396415641094e-05,3.654811551228722e-05,3.0436183710843146e-05,3.308254867441065e-05,3.715080242060113e-05,2.7920561073153467e-05,1.3234734677635558e-05,1.1179159912283315e-05,1.6400892073775854e-06,-7.534832280578145e-07,-5.216952756696053e-07,-4.410943314721502e-06,-4.678682713600129e-06,-1.0516809968434234e-05,4.7256737252957193e-07,-2.0009564669272743e-06,-2.156215537999049e-05,-2.3775922280269417e-06,7.771884169888933e-06,-2.2196502322297018e-06,-5.159923106602756e-06,11.157833171502444,-5.405542106828109,-3.3158267240339665,-19.389870709900702,-12.706986902114378,-21.781506979418143,1.3099381628210698,-6.168720349454712,-39.45881994076579,-6.014897010520162,38.57267753710277,-14.362591880397613,-31.580249030122975
"POLYGON ((104.0634637253117 0.9537284965912818, 104.0324435633416 0.9000000000000909, 103.9704032394014 0.9000000000000909, 103.9393830774314 0.9537284965912818, 103.9704032394014 1.007456993182473, 104.0324435633416 1.007456993182473, 104.0634637253117 0.9537284965912818))",1.4559045891320597e-05,1.2769377663723492e-05,1.3524885992082317e-05,1.8958169482804863e-05,3.5597019066540635e-05,7.465024739846032e-05,3.447893875894041e-05,3.374221469277515e-05,4.816038732946076e-05,4.6905202279301835e-05,1.8273289023799264e-05,1.4861881322318756e-05,1.411672107800901e-05,1.2255127491059433e-05,1.3277471429870976e-05,1.8162405017194682e-05,3.404595077109405e-05,2.805647435218251e-05,3.3427191428510925e-05,2.9809235283932655e-05,3.287017286674637e-05,3.5091727900242265e-05,2.597278715625887e-05,1.3256688863997217e-05,1.0233901231188642e-05,-4.4232481331158795e-07,-5.14250172664059e-07,-2.474145622113411e-07,-7.957644656101807e-07,-1.551068295446588e-06,-4.659377304627781e-05,-1.051747330429488e-06,-3.9329794088424955e-06,-1.529021446271439e-05,-1.181347437905957e-05,7.699498132459606e-06,-1.6051924583215395e-06,-3.882819846820367e-06,-3.0381442342679934,-4.027214060125981,-1.8293282646240534,-4.197475216855416,-4.357298268563483,-62.41609997295041,-3.050405169900333,-11.655961070286892,-31.74852884407977,-25.185851046361606,42.13526159648504,-10.800735273743236,-27.50511131702541
"POLYGON ((104.1565242112219 0.9000000000000909, 104.1255040492518 0.8462715034089001, 104.0634637253117 0.8462715034089001, 104.0324435633416 0.9000000000000909, 104.0634637253117 0.9537284965912818, 104.1255040492518 0.9537284965912818, 104.1565242112219 0.9000000000000909))",1.1946428947107662e-05,1.1931990582146664e-05,1.1863550624135876e-05,1.2501202249741802e-05,3.699181125440301e-05,5.6042367152149405e-05,2.5732161608580597e-05,2.615730479412777e-05,3.749215718115994e-05,3.388813443826053e-05,2.3634700358749023e-05,9.465881236498465e-06,8.07206872097289e-06,9.186976092353505e-06,1.1013666716921222e-05,2.1849542219209938e-05,2.039565674999806e-05,2.684327882751027e-05,2.2957835166200798e-05,2.1833465124387277e-05,2.7629796567591252e-05,2.6269616925040633e-05,1.7511316756731713e-05,1.0104952324667977e-05,9.286520170854768e-06,-3.8743602261347715e-06,-2.7450144897931594e-06,-8.498839072146537e-07,9.348339969468136e-06,-1.659615450440495e-05,-2.9199088324639136e-05,-2.7743264423797984e-06,-4.323839669740492e-06,-9.862360613568688e-06,-7.618517513219897e-06,-6.12338360201731e-06,6.390710881695121e-07,1.2144514498818777e-06,-32.43111597020622,-23.005503322307423,-7.1638241715393525,74.7795274623384,-44.864400908267406,-52.101811198243176,-10.781552224725175,-16.530142167824494,-26.305129805986706,-22.48137184152104,-25.90844609439093,6.751311073979961,15.045107912999844
"POLYGON ((104.2495846971321 0.9537284965912818, 104.218564535162 0.9000000000000909, 104.1565242112219 0.9000000000000909, 104.1255040492518 0.9537284965912818, 104.1565242112219 1.007456993182473, 104.218564535162 1.007456993182473, 104.2495846971321 0.9537284965912818))",1.44110487618476e-05,1.1645024809697605e-05,1.2774988629578244e-05,1.2723156025780051e-05,4.869457926704433e-05,4.269143699595333e-05,2.5218691856251537e-05,2.241482335347688e-05,3.344462221335399e-05,2.8416977326983835e-05,2.1929154256015377e-05,1.583772335556348e-05,8.399961580031258e-06,1.0352597802462771e-05,1.2513423651480274e-05,1.9260189644540017e-05,2.834819864082252e-05,2.2565124930444717e-05,2.0370139531016606e-05,1.7384438315601467e-05,2.4110111400093297e-05,2.2327704358128312e-05,1.874625764436309e-05,1.6642105274973357e-05,1.1150140558688993e-05,-6.011087181816342e-06,-1.2924270072348339e-06,-2.615649780979695e-07,6.537033618759966e-06,-2.034638062622181e-05,-2.012631206550861e-05,-4.848552325234931e-06,-5.0303850378754145e-06,-9.33451081326069e-06,-6.089272968855522e-06,-3.1828966116522884e-06,8.043819194098763e-07,2.7501789786577348e-06,-41.71165666811385,-11.098533737416702,-2.047477189078366,51.379025813362865,-41.7836665445673,-47.14367442683262,-19.22602628586783,-22.442224765938764,-27.910349095028934,-21.42829231550024,-14.514452196801841,5.078898660818651,32.74037568452189
