geometry,jul_2018,aug_2018,sep_2018,oct_2018,nov_2018,dec_2018,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,change_jul_2018_2019_magnitude,change_aug_2018_2019_magnitude,change_sep_2018_2019_magnitude,change_oct_2018_2019_magnitude,change_nov_2018_2019_magnitude,change_dec_2018_2019_magnitude,change_jan_2019_2020_magnitude,change_feb_2019_2020_magnitude,change_mar_2019_2020_magnitude,change_apr_2019_2020_magnitude,change_may_2019_2020_magnitude,change_jun_2019_2020_magnitude,change_jul_2019_2020_magnitude,change_jul_2018_2019_percent,change_aug_2018_2019_percent,change_sep_2018_2019_percent,change_oct_2018_2019_percent,change_nov_2018_2019_percent,change_dec_2018_2019_percent,change_jan_2019_2020_percent,change_feb_2019_2020_percent,change_mar_2019_2020_percent,change_apr_2019_2020_percent,change_may_2019_2020_percent,change_jun_2019_2020_percent,change_jul_2019_2020_percent
"POLYGON ((125.2205287516763 33.11208344000005, 125.1511655608382 32.99194286929327, 125.012439179162 32.99194286929327, 124.9430759883238 33.11208344000005, 125.012439179162 33.23222401070672, 125.1511655608382 33.23222401070672, 125.2205287516763 33.11208344000005))",1.3245393913460664e-05,1.549102139529089e-05,1.9395230064538065e-05,2.750191839412836e-05,2.5329301254129455e-05,2.2207692996606937e-05,3.46790791835782e-05,2.1354342482211915e-05,2.831452428220812e-05,2.472829317836471e-05,2.2899398759892486e-05,1.7284069309631608e-05,1.826043797706217e-05,1.7989051574993357e-05,2.2003511433284987e-05,2.4038324341120197e-05,2.518829319266112e-05,2.495957536501752e-05,2.544833368364763e-05,1.609687709681851e-05,2.635797084283133e-05,1.6539467949519542e-05,1.817286868169112e-05,2.047831691185292e-05,1.8415452816405332e-05,5.0150440636015074e-06,2.4980301797024655e-06,2.6082813687469215e-06,-3.4635940530081642e-06,-1.4100806146833333e-07,2.7518823684105842e-06,-9.230745499930568e-06,-5.257465385393404e-06,-1.9565534393767884e-06,-8.188825228845169e-06,-4.7265300782013664e-06,3.1942476022213123e-06,1.5501483934316136e-07,37.86255128663978,16.125664770315538,13.448055836758865,-12.594008910111661,-0.5566993737947852,12.391572455684784,-26.6176199519786,-24.620123002021028,-6.910069969306247,-33.11520601029487,-20.64041125166885,18.480877072399306,0.8489108505386512
"POLYGON ((125.4286183241907 33.23222401070672, 125.3592551333527 33.11208344000005, 125.2205287516763 33.11208344000005, 125.1511655608382 33.23222401070672, 125.2205287516763 33.3523645814135, 125.3592551333527 33.3523645814135, 125.4286183241907 33.23222401070672))",1.3052266857775123e-05,1.5473630163661354e-05,2.0365454456804554e-05,2.7244526094762086e-05,2.51776791756282e-05,2.1653438300502186e-05,2.9677702457722287e-05,2.1174351844477663e-05,2.5986231738850028e-05,2.4251194604638013e-05,2.3028097890528322e-05,1.6553020640015236e-05,1.7925591317899002e-05,1.8627578867812608e-05,2.2771659443574284e-05,2.416332679393778e-05,2.4101762361016365e-05,2.293625236263201e-05,2.580742291002232e-05,1.6832284722636965e-05,2.672556328067527e-05,1.630751561815923e-05,1.779929006360672e-05,2.06396872545117e-05,1.869693852884569e-05,4.873324460123879e-06,3.153948704151254e-06,2.4062049867697294e-06,-3.0811993008243077e-06,-1.0759168146118343e-06,1.282814062129825e-06,-3.870279547699969e-06,-4.342067121840699e-06,7.393315418252411e-07,-7.943678986478782e-06,-5.228807826921602e-06,4.086666614496463e-06,7.713472109466869e-07,37.336996808496,20.38273288680547,11.815130331971366,-11.309425203827223,-4.273296228404219,5.924297307093599,-13.04103494269282,-20.506257540880164,2.8450894660495276,-32.75582550048715,-22.70620809316718,24.688343616375157,4.303050299805083
"POLYGON ((125.6367078967052 33.11208344000005, 125.567344705867 32.99194286929327, 125.4286183241907 32.99194286929327, 125.3592551333525 33.11208344000005, 125.4286183241907 33.23222401070672, 125.567344705867 33.23222401070672, 125.6367078967052 33.11208344000005))",1.3633454699846031e-05,1.6230824033853152e-05,2.2227402482839014e-05,2.8182773227566013e-05,2.6421225088534024e-05,2.0706956157378786e-05,2.753185688480756e-05,2.1315265822406464e-05,2.491980654799076e-05,2.3536204268483607e-05,2.2942861203800044e-05,1.5627303238683077e-05,1.8624232192006494e-05,1.914221156290365e-05,2.2550777900593142e-05,2.5165907581266695e-05,2.6238513147693257e-05,2.533906822447175e-05,2.98581124543146e-05,1.6657259393797257e-05,2.6322834304808785e-05,1.5941578097829886e-05,1.9202174621280624e-05,2.1545205129650002e-05,1.9491455686093663e-05,4.990777492160463e-06,2.911387529050499e-06,3.2337541775412807e-07,-3.0168656462993177e-06,-1.8271194084076625e-07,4.6321120670929635e-06,2.326255569507039e-06,-4.6580064286092066e-06,1.4030277568180266e-06,-7.594626170653721e-06,-3.7406865825194195e-06,5.917901890966926e-06,8.672234940871697e-07,36.606843988096614,17.937398144284753,1.4548502372411474,-10.704644365333337,-0.6915347044980796,22.369835681727377,8.449323194000392,-21.85291268435762,5.63017114164215,-32.26784609795124,-16.304359553462525,37.86898993754748,4.656425484532894
"POLYGON ((125.8447974692194 33.23222401070672, 125.7754342783813 33.11208344000005, 125.6367078967052 33.11208344000005, 125.567344705867 33.23222401070672, 125.6367078967052 33.3523645814135, 125.7754342783813 33.3523645814135, 125.8447974692194 33.23222401070672))",1.4559480025428543e-05,1.7100318193061023e-05,2.343903173488461e-05,2.955718120957302e-05,2.8668592802827226e-05,2.007320076144861e-05,2.6188661863695555e-05,2.3537969954358025e-05,2.4850060944948816e-05,2.474752887860034e-05,2.3299321828337104e-05,1.6496547887695288e-05,1.9461961724728695e-05,1.8807230106139432e-05,2.5631738066435875e-05,2.6726792509035418e-05,2.8918708424230783e-05,2.681579010197134e-05,3.348935078753193e-05,1.852922353946531e-05,2.9285714459090565e-05,1.6670221244620353e-05,1.921697887375078e-05,2.221418260977018e-05,2.020332073175574e-05,4.902481699300153e-06,1.706911913078409e-06,2.192706331551264e-06,-2.8303887005376026e-06,2.5011562140355716e-07,6.742589340522731e-06,7.300688923836372e-06,-5.0087464148927135e-06,4.435653514141749e-06,-8.077307633979987e-06,-4.082342954586323e-06,5.7176347220748935e-06,7.413590070270435e-07,33.67209330785049,9.98175527383485,9.354935631952028,-9.575976411515494,0.8724377339472742,33.590006001793924,27.877288888734963,-21.2794324430062,17.84966855400557,-32.638845169565954,-17.52129518903548,34.659583089742405,3.8092717348480876
"POLYGON ((126.0528870417338 33.11208344000005, 125.9835238508958 32.99194286929327, 125.8447974692194 32.99194286929327, 125.7754342783813 33.11208344000005, 125.8447974692194 33.23222401070672, 125.9835238508958 33.23222401070672, 126.0528870417338 33.11208344000005))",1.4143440075701318e-05,1.763140956052953e-05,2.3623052246816086e-05,3.0438930170807605e-05,2.9900983582832713e-05,2.2642507670448124e-05,2.628139492865877e-05,2.5410690788619722e-05,2.528350590677782e-05,2.4999271277299197e-05,2.431306401191103e-05,1.7670808289841785e-05,1.7683424862834276e-05,1.9450991174310496e-05,2.3595926364333126e-05,2.9854173839950128e-05,2.9816463438772144e-05,2.2617598523869742e-05,3.9713355921913664e-05,2.2038251917000604e-05,2.911967185560564e-05,1.7053713120173932e-05,1.7827814935495656e-05,2.191627499153277e-05,2.0040404445766064e-05,3.539984787132957e-06,1.8195816137809648e-06,-2.7125882482960183e-08,-5.847563308574774e-07,-8.45201440605688e-08,-2.4909146578382368e-08,1.3431960993254893e-05,-3.3724388716191177e-06,3.836165948827822e-06,-7.945558157125265e-06,-6.485249076415373e-06,4.245466701690986e-06,2.3569795829317882e-06,25.02916382567148,10.320114268426742,-0.11482801713997906,-1.9210804308039933,-0.282666768557724,-0.11001054715725038,51.10824988443782,-13.271732357348892,15.17260289364953,-31.783159072881844,-26.67392753639868,24.02531130469866,13.328750517585059
"POLYGON ((126.2609766142483 33.23222401070672, 126.1916134234101 33.11208344000005, 126.0528870417338 33.11208344000005, 125.9835238508958 33.23222401070672, 126.0528870417338 33.3523645814135, 126.1916134234101 33.3523645814135, 126.2609766142483 33.23222401070672))",1.6277443720050584e-05,1.8991848513638212e-05,2.525271754331611e-05,3.6896866211267e-05,3.55973159939316e-05,3.0123325142041962e-05,3.080089652184424e-05,2.9520953266495365e-05,2.766681315312511e-05,2.6695891525979222e-05,2.766226669409899e-05,2.037328721881249e-05,1.865192354517491e-05,2.0887824828079886e-05,2.5733054569415378e-05,3.275442833495401e-05,3.758274096125528e-05,2.235812605245334e-05,4.137238031749696e-05,2.5662050967215423e-05,2.8489078892857028e-05,1.8599665149862173e-05,1.743784863497002e-05,2.3387611564818977e-05,1.9696820918972586e-05,2.3744798251243265e-06,1.8959763144416739e-06,4.803370260992677e-07,-4.14243787631299e-06,1.985424967323676e-06,-7.765199089588624e-06,1.057148379565272e-05,-3.858902299279942e-06,8.222657397319162e-07,-8.096226376117049e-06,-1.0224418059128967e-05,3.014324346006486e-06,1.0448973737976751e-06,14.587547442719387,9.98310571548713,1.9021201392497393,-11.22707238222859,5.5774569286688305,-25.778027667838817,34.322000296826886,-13.07174014485359,2.972029106427955,-30.327611903270473,-36.96160611924863,14.795473669183284,5.602089088918557
"POLYGON ((126.4690661867626 33.11208344000005, 126.3997029959245 32.99194286929327, 126.2609766142483 32.99194286929327, 126.1916134234101 33.11208344000005, 126.2609766142483 33.23222401070672, 126.3997029959245 33.23222401070672, 126.4690661867626 33.11208344000005))",1.5278201356828765e-05,1.750226149976982e-05,2.4148101502062546e-05,3.7583452992439474e-05,3.6250091488413484e-05,2.5929172898992163e-05,3.491852201761181e-05,3.123080473981411e-05,3.09254322129412e-05,3.095889327189392e-05,3.0392801620117883e-05,1.986209216198615e-05,1.9642290423567586e-05,2.173630334164625e-05,2.7849383294717313e-05,3.427497951408247e-05,3.91512951430731e-05,3.133942338538924e-05,3.162632284152898e-05,2.7170034442747312e-05,2.806570745187294e-05,2.0236588116415774e-05,1.9095096267428937e-05,2.4946905434125816e-05,1.846848722220606e-05,4.364089066738821e-06,4.23404184187643e-06,3.7012817926547663e-06,-3.308473478357002e-06,2.9012036546596152e-06,5.410250486397077e-06,-3.292199176082828e-06,-4.060770297066799e-06,-2.859724761068256e-06,-1.0722305155478143e-05,-1.1297705352688946e-05,5.084813272139666e-06,-1.1738032013615278e-06,28.564154672488606,24.191398591159857,15.32742353405559,-8.803005617984477,8.003300227771614,20.865495816132906,-9.428231740227568,-13.002451684794366,-9.247161822597139,-34.6340066529846,-37.17230643591167,25.60059247872909,-5.975897800356077
"POLYGON ((126.677155759277 33.23222401070672, 126.607792568439 33.11208344000005, 126.4690661867626 33.11208344000005, 126.3997029959245 33.23222401070672, 126.4690661867626 33.3523645814135, 126.607792568439 33.3523645814135, 126.677155759277 33.23222401070672))",1.5161374272249995e-05,1.74958539080867e-05,2.4441998433766814e-05,3.573069949729983e-05,3.923070206570011e-05,3.262118035230346e-05,3.399885073462166e-05,3.2799973221031734e-05,3.075048779142043e-05,3.118097229905116e-05,2.9520806943234687e-05,2.2246069191033864e-05,1.950379893000081e-05,2.28365305495337e-05,2.8659140371002187e-05,3.298035462385341e-05,3.835070928502914e-05,3.236869503404421e-05,3.151751919924519e-05,2.7485566855638738e-05,2.5708633223648425e-05,2.1003110461108012e-05,2.0808979053796177e-05,2.3551348710545264e-05,2.098285605117798e-05,4.342424657750814e-06,5.340676641447001e-06,4.2171419372353725e-06,-2.750344873446423e-06,-8.799927806709751e-07,-2.5248531825925054e-07,-2.481331535376469e-06,-5.314406365392996e-06,-5.041854567772006e-06,-1.0177861837943145e-05,-8.71182788943851e-06,1.3052795195114003e-06,1.4790571211771702e-06,28.641365748082574,30.525384296781905,17.253670761263766,-7.697428016079748,-2.2431226930306805,-0.7739919755583642,-7.298280623496732,-16.202471659291888,-16.396014924936292,-32.64125871486329,-29.510805399697954,5.867461385211752,7.58343093304802
"POLYGON ((126.8852453317915 33.11208344000005, 126.8158821409532 32.99194286929327, 126.677155759277 32.99194286929327, 126.607792568439 33.11208344000005, 126.677155759277 33.23222401070672, 126.8158821409532 33.23222401070672, 126.8852453317915 33.11208344000005))",1.585845372675053e-05,1.8016681279899257e-05,2.36447110787268e-05,3.74841761418873e-05,3.772225489585023e-05,3.610369585072787e-05,4.011678021609159e-05,3.249133550954715e-05,3.18435800354407e-05,2.973639917567078e-05,2.848585817492214e-05,2.0265113199954794e-05,2.212824061775206e-05,2.053367395226997e-05,2.7078098000480903e-05,3.2713212095004764e-05,3.9925721359267676e-05,3.082786194400641e-05,3.8155362916004414e-05,2.9979041308841024e-05,2.751277246310092e-05,2.086060232277313e-05,2.084747724292488e-05,2.3498244410496603e-05,2.0472541086912858e-05,6.26978689100153e-06,2.5169926723707128e-06,3.4333869217541028e-06,-4.7709640468825354e-06,2.203466463417445e-06,-5.27583390672146e-06,-1.961417300087176e-06,-2.512294200706127e-06,-4.330807572339778e-06,-8.87579685289765e-06,-7.63838093199726e-06,3.233131210541809e-06,-1.6556995308392028e-06,39.53592827543747,13.970345777159615,14.520739586634784,-12.727941595470055,5.841290425244025,-14.613002304624434,-4.889269002950577,-7.732197403729134,-13.600253387086983,-29.84825701478846,-26.814642146613643,15.95417296040084,-7.482291789212296
"POLYGON ((127.0933349043059 33.23222401070672, 127.0239717134676 33.11208344000005, 126.8852453317915 33.11208344000005, 126.8158821409532 33.23222401070672, 126.8852453317915 33.3523645814135, 127.0239717134676 33.3523645814135, 127.0933349043059 33.23222401070672))",1.667474591998656e-05,1.7466595750940894e-05,2.200600426878207e-05,3.721360560681346e-05,3.738203324697582e-05,3.118075322037742e-05,3.603265821681772e-05,2.976152322101989e-05,3.173028723872849e-05,2.8327314688737608e-05,2.8110409643692923e-05,2.116514176535632e-05,2.172662388574283e-05,2.2019310429608177e-05,2.6490271027399446e-05,3.4767034779807846e-05,3.6715398408219945e-05,2.9429203162487998e-05,4.395875027966564e-05,2.8368620214551988e-05,2.5305949902150206e-05,2.0753122713425958e-05,2.0245641294821293e-05,2.4332900994780378e-05,2.043834876388447e-05,5.0518779657562686e-06,4.552714678667283e-06,4.4842667586173755e-06,-2.4465708270056147e-06,-6.666348387558745e-07,-1.7515500578894251e-06,7.926092062847924e-06,-1.3929030064679026e-06,-6.424337336578286e-06,-7.57419197531165e-06,-7.86476834887163e-06,3.167759229424059e-06,-1.2882751218583585e-06,30.296581369201096,26.065266200610594,20.37746927541407,-6.574398763869499,-1.783302781717484,-5.617407782005542,21.996967348771776,-4.680214101017944,-20.246704003161504,-26.738122051233475,-27.97813496338084,14.966869887019296,-5.929476795995599
